time,order_temperature,temperature,tempéraure max_palier,puissance,proportional_coeff,coeff_integral,derivative_coeff,proportionnel,integral,derive
0.25831629999999706,0,0,0,0.0,12,1200,20,0,0.0,0.0
0.574188699999997,-7.0,0,0,-104.01105553399078,12,1200,20,-84.0,-0.011055533990787052,-20
0.8923962999999979,-15.0,0,0,-145.0460583699616,12,1200,20,-125,-0.04605836996161812,-20
1.205752399999998,-23.0,0,0,-145.05953765895038,12,1200,20,-125,-0.059537658950385285,-20
1.5198523999999978,-31.0,0,0,-145.08480699992933,12,1200,20,-125,-0.08480699992932744,-20
1.8366602999999984,-39.0,0,0,-145.11088276490761,12,1200,20,-125,-0.1108827649075979,-20
2.1627526999999986,-47.0,0,0,-145.14021973188315,12,1200,20,-125,-0.14021973188315034,-20
2.4791652999999982,-55.0,0,0,-145.16137042586553,12,1200,20,-125,-0.16137042586552441,-20
2.7960971999999984,-63.0,0,0,-145.1869898208442,12,1200,20,-125,-0.18698982084417523,-20
3.1124595999999976,-71.0,0,0,-145.21196280782337,12,1200,20,-125,-0.21196280782336374,-20
3.428368899999999,-79.0,0,0,-145.23693197480256,12,1200,20,-125,-0.23693197480255762,-20
3.744891599999999,-87.0,0,0,-145.2627138407811,12,1200,20,-125,-0.2627138407810719,-20
4.063082999999999,-95.0,0,0,-145.2895541737587,12,1200,20,-125,-0.28955417375870474,-20
4.3789877,-103.0,0,0,-145.31274565273938,12,1200,20,-125,-0.31274565273937943,-20
4.688527099999998,-111.0,0,0,-145.331207157724,12,1200,20,-125,-0.3312071577239924,-20
5.006542799999998,-119.0,0,0,-145.36571805469524,12,1200,20,-125,-0.36571805469523505,-20
5.3233815,-127.0,0,0,-145.38971160067524,12,1200,20,-125,-0.38971160067524235,-20
5.640803299999998,-136.0,0,0,-145.41740966665216,12,1200,20,-125,-0.4174096666521562,-20
5.957939699999997,-145.0,0,0,-145.4455766416287,12,1200,20,-125,-0.4455766416286846,-20
6.274744199999997,-154.0,0,0,-145.4736227271053,12,1200,20,-125,-0.4736227271053142,-20
6.591958599999998,-163.0,0,0,-145.502784823581,12,1200,20,-125,-0.5027848235810142,-20
6.9098966,-172.0,0,0,-145.5325461495562,12,1200,20,-125,-0.5325461495562142,-20
7.227924999999999,-181.0,0,0,-145.56132012553223,12,1200,20,-125,-0.561320125532232,-20
7.544079799999999,-190.0,0,0,-145.58646715351128,12,1200,20,-125,-0.5864671535112767,-20
7.862491199999997,-199.0,0,0,-145.6193101724839,12,1200,20,-125,-0.6193101724839055,-20
8.180668999999998,-208.0,0,0,-145.64749182246044,12,1200,20,-125,-0.6474918224604251,-20
8.499234900000001,-217.0,0,0,-145.6769525369359,12,1200,20,-125,-0.6769525369358791,-20
8.807465699999998,-226.0,0,0,-145.68273122143106,12,1200,20,-125,-0.6827312214310505,-20
9.125032000000001,-235.0,0,0,-145.73199032089002,12,1200,20,-125,-0.7319903208900146,-20
9.4438445,-244.0,0,0,-145.7635559368637,12,1200,20,-125,-0.7635559368637032,-20
9.762920999999995,-254.0,0,0,-145.7945004843379,12,1200,20,-125,-0.7945004843379018,-20
10.081070799999996,-264.0,0,0,-145.82400798131334,12,1200,20,-125,-0.8240079813133279,-20
10.399559100000001,-274.0,0,0,-145.85673352628606,12,1200,20,-125,-0.8567335262860706,-20
10.717706799999998,-284.0,0,0,-145.8876320822603,12,1200,20,-125,-0.8876320822602989,-20
11.034501699999996,-294.0,0,0,-145.91553726023704,12,1200,20,-125,-0.915537260237046,-20
11.352695399999998,-304.0,0,0,-145.95139916220717,12,1200,20,-125,-0.9513991622071731,-20
11.670812299999998,-314.0,0,0,-145.98298122018085,12,1200,20,-125,-0.9829812201808481,-20
11.9905382,-324.0,0,0,-146.01992562015005,12,1200,20,-125,-1.019925620150067,-20
12.309641500000001,-334.0,0,0,-146.04984985612515,12,1200,20,-125,-1.049849856125131,-20
12.628776599999998,-344.0,0,0,-146.08186798809845,12,1200,20,-125,-1.0818679880984328,-20
12.9407404,-354.0,0,0,-146.0887536610927,12,1200,20,-125,-1.0887536610927084,-20
13.263145599999998,-364.0,0,0,-146.15743466703546,12,1200,20,-125,-1.157434667035466,-20
13.583167199999995,-375.0,0,0,-146.1824798110146,12,1200,20,-125,-1.1824798110145887,-20
13.903421599999998,-386.0,0,0,-146.21856799098452,12,1200,20,-125,-1.2185679909845386,-20
14.223536499999998,-397.0,0,0,-146.25324983245562,12,1200,20,-125,-1.2532498324556254,-20
14.5437227,-408.0,0,0,-146.28874945392604,12,1200,20,-125,-1.28874945392605,-20
14.864105899999995,-419.0,0,0,-146.324784530896,12,1200,20,-125,-1.3247845308959916,-20
15.184251,-430.0,0,0,-146.35901594836753,12,1200,20,-125,-1.359015948367507,-20
15.505114500000001,-441.0,0,0,-146.39736054133556,12,1200,20,-125,-1.3973605413355394,-20
15.825529299999996,-452.0,0,0,-146.43065208080776,12,1200,20,-125,-1.4306520808077658,-20
16.146972,-463.0,0,0,-146.47060035127453,12,1200,20,-125,-1.4706003512745256,-20
16.4668648,-474.0,0,0,-146.4986977667511,12,1200,20,-125,-1.4986977667510761,-20
16.787173299999996,-485.0,0,0,-146.53587925622008,12,1200,20,-125,-1.5358792562200807,-20
17.1109677,-497.0,0,0,-146.58983050267517,12,1200,20,-125,-1.5898305026751614,-20
17.4310753,-509.0,0,0,-146.61014122665821,12,1200,20,-125,-1.6101412266582158,-20
17.751166099999995,-521.0,0,0,-146.64846761862626,12,1200,20,-125,-1.648467618626254,-20
