time,consigne,temperature,tempéraure max_palier,puissance,proportional_coeff,coeff_integral,derivative_coeff,proportionnel,integral,derive
0.26670949999993354,0,0,0,0.0,12,1200,20,0,0.0,0.0
0.5685453999999481,-7.0,0,0,-104.0105642564912,12,1200,20,-84.0,-0.010564256491196963,-20
0.8716359999998531,-8.0,0,0,-116.03329605147225,12,1200,20,-96.0,-0.03329605147224667,-20
1.1751827000000503,-8.0,0,0,-116.05757978745203,12,1200,20,-96.0,-0.057579787452026,-20
1.4779493999999431,-8.0,0,0,-116.08180112343183,12,1200,20,-96.0,-0.08180112343183298,-20
1.78127829999994,-8.0,0,0,-96.10606743541162,12,1200,20,-96.0,-0.10606743541161079,0.0
2.084085400000049,-8.0,0,0,-96.13029200339143,12,1200,20,-96.0,-0.13029200339143238,0.0
2.3872349999999187,-8.0,0,0,-96.15454397137121,12,1200,20,-96.0,-0.15454397137121198,0.0
2.6905667999999423,-8.0,0,0,-96.17881051535099,12,1200,20,-96.0,-0.17881051535099174,0.0
2.9940509000000475,-8.0,0,0,-96.20308924333077,12,1200,20,-96.0,-0.2030892433307679,0.0
3.297446499999978,-8.0,0,0,-96.22736089131054,12,1200,20,-96.0,-0.22736089131053597,0.0
3.5997678999999607,-8.0,0,0,-96.25154660329038,12,1200,20,-96.0,-0.2515466032903798,0.0
3.902234299999918,-8.0,0,0,-96.27574391527021,12,1200,20,-96.0,-0.27574391527021197,0.0
4.205180100000007,-8.0,0,0,-96.29997957925002,12,1200,20,-96.0,-0.29997957925002267,0.0
4.50878089999992,-8.0,0,0,-96.32426764322977,12,1200,20,-96.0,-0.32426764322977564,0.0
4.811560800000052,-8.0,0,0,-96.34849003520961,12,1200,20,-96.0,-0.3484900352096009,0.0
5.113259499999913,-8.0,0,0,-96.37262593118948,12,1200,20,-96.0,-0.3726259311894765,0.0
5.415614399999868,-8.0,0,0,-96.39681432316931,12,1200,20,-96.0,-0.3968143231693159,0.0
5.717896899999914,-8.0,0,0,-96.42099692314916,12,1200,20,-96.0,-0.4209969231491675,0.0
6.021383300000025,-8.0,0,0,-96.44527583512894,12,1200,20,-96.0,-0.4452758351289439,0.0
6.324539899999991,-8.0,0,0,-96.46952836310874,12,1200,20,-96.0,-0.4695283631087307,0.0
6.627468200000067,-8.0,0,0,-96.49376262708854,12,1200,20,-96.0,-0.4937626270885416,0.0
6.9301752999999735,-8.0,0,0,-96.51797919506835,12,1200,20,-96.0,-0.5179791950683537,0.0
7.232018499999867,-8.0,0,0,-96.54212665104822,12,1200,20,-96.0,-0.5421266510482222,0.0
7.534400300000016,-8.0,0,0,-96.56631719502808,12,1200,20,-96.0,-0.5663171950280753,0.0
7.838011199999983,-8.0,0,0,-96.59060606700783,12,1200,20,-96.0,-0.5906060670078319,0.0
8.140543799999932,-8.0,0,0,-96.61480867498766,12,1200,20,-96.0,-0.6148086749876591,0.0
8.442256399999906,-8.0,0,0,-96.63894568296755,12,1200,20,-96.0,-0.6389456829675428,0.0
8.744873200000029,-8.0,0,0,-96.66315502694738,12,1200,20,-96.0,-0.6631550269473783,0.0
9.048217799999975,-8.0,0,0,-96.68742259492716,12,1200,20,-96.0,-0.6874225949271509,0.0
9.351028899999847,-8.0,0,0,-96.71164748290695,12,1200,20,-96.0,-0.7116474829069532,0.0
9.653301399999918,-8.0,0,0,-96.73582928288681,12,1200,20,-96.0,-0.7358292828868075,0.0
9.95628499999998,-8.0,0,0,-96.76006797086661,12,1200,20,-96.0,-0.7600679708666135,0.0
10.25930829999993,-8.0,0,0,-96.78430983484641,12,1200,20,-96.0,-0.7843098348464079,0.0
10.56206259999999,-8.0,0,0,-96.80853017882623,12,1200,20,-96.0,-0.8085301788262291,0.0
10.865165700000034,-8.0,0,0,-96.83277842680603,12,1200,20,-96.0,-0.8327784268060258,0.0
11.16784779999989,-8.0,0,0,-96.85699299478584,12,1200,20,-96.0,-0.8569929947858355,0.0
11.470771999999897,-8.0,0,0,-96.88122693076564,12,1200,20,-96.0,-0.8812269307656411,0.0
11.772076499999912,-8.0,0,0,-96.90533129074555,12,1200,20,-96.0,-0.9053312907455553,0.0
12.074340500000062,-8.0,0,0,-96.92951241072542,12,1200,20,-96.0,-0.9295124107254163,0.0
12.376737599999842,-8.0,0,0,-96.95370417870524,12,1200,20,-96.0,-0.9537041787052389,0.0
12.679775099999915,-8.0,0,0,-96.97794717868504,12,1200,20,-96.0,-0.9779471786850423,0.0
12.982244300000048,-8.0,0,0,-97.0021447146649,12,1200,20,-96.0,-1.0021447146648883,0.0
13.286908999999923,-8.0,0,0,-97.02651789064457,12,1200,20,-96.0,-1.0265178906445673,0.0
13.590368099999978,-8.0,0,0,-97.05079461862434,12,1200,20,-96.0,-1.050794618624341,0.0
13.893820199999936,-8.0,0,0,-97.0750707866041,12,1200,20,-96.0,-1.0750707866041076,0.0
14.196722799999861,-8.0,0,0,-97.09930299458391,12,1200,20,-96.0,-1.0993029945839081,0.0
14.499577300000055,-8.0,0,0,-97.12353135456374,12,1200,20,-96.0,-1.1235313545637333,0.0
14.803282200000012,-8.0,0,0,-97.14782774654348,12,1200,20,-96.0,-1.147827746543483,0.0
15.10544589999995,-8.0,0,0,-97.17200084252333,12,1200,20,-96.0,-1.1720008425233337,0.0
15.409390399999893,-8.0,0,0,-97.19631640250307,12,1200,20,-96.0,-1.1963164025030661,0.0
15.713064399999894,-8.0,0,0,-97.22061032248283,12,1200,20,-96.0,-1.2206103224828213,0.0
