time,order_temperature,temperature,tempéraure max_palier,puissance,proportional_coeff,coeff_integral,derivative_coeff,proportionnel,integral,derive
0.25675509999996393,0,0,0,0.0,12,1200,20,0,0.0,0.0
0.558787299999949,-7.0,0,0,-104.0105711269912,12,1200,20,-84.0,-0.010571126991190205,-20
0.8603971000000001,-8.0,0,0,-116.03319186197234,12,1200,20,-96.0,-0.033191861972343424,-20
1.1618177000000287,-8.0,0,0,-116.05730550995226,12,1200,20,-96.0,-0.057305509952251,-20
1.4637341000000106,-8.0,0,0,-116.08145882193212,12,1200,20,-96.0,-0.08145882193212178,-20
1.7656996999999137,-8.0,0,0,-96.10561606991199,12,1200,20,-96.0,-0.105616069911983,0.0
2.0677281000000676,-8.0,0,0,-96.12977834189186,12,1200,20,-96.0,-0.12977834189186008,0.0
2.368951299999935,-8.0,0,0,-96.15387619787177,12,1200,20,-96.0,-0.15387619787176793,0.0
2.670770100000027,-8.0,0,0,-96.17802170185165,12,1200,20,-96.0,-0.17802170185165403,0.0
2.9718471999999565,-8.0,0,0,-96.20210786983158,12,1200,20,-96.0,-0.20210786983157658,0.0
3.273166299999957,-8.0,0,0,-96.22621339781149,12,1200,20,-96.0,-0.2262133978114887,0.0
3.5749694000001,-8.0,0,0,-96.25035764579138,12,1200,20,-96.0,-0.2503576457913799,0.0
3.877201600000035,-8.0,0,0,-96.27453622177123,12,1200,20,-96.0,-0.2745362217712259,0.0
4.17826869999999,-8.0,0,0,-96.29862158975115,12,1200,20,-96.0,-0.2986215897511511,0.0
4.48029049999991,-8.0,0,0,-96.32278333373101,12,1200,20,-96.0,-0.32278333373101,0.0
4.782264800000121,-8.0,0,0,-96.3469412777109,12,1200,20,-96.0,-0.3469412777108952,0.0
5.083540500000026,-8.0,0,0,-96.3710433336908,12,1200,20,-96.0,-0.3710433336908026,0.0
5.385983800000076,-8.0,0,0,-96.39523879767064,12,1200,20,-96.0,-0.3952387976706437,0.0
5.688063499999998,-8.0,0,0,-96.4194051736505,12,1200,20,-96.0,-0.41940517365049884,0.0
5.9900471000000834,-8.0,0,0,-96.44356386163037,12,1200,20,-96.0,-0.44356386163037337,0.0
6.292285700000093,-8.0,0,0,-96.46774294961023,12,1200,20,-96.0,-0.4677429496102249,0.0
6.593796000000111,-8.0,0,0,-96.49186377359013,12,1200,20,-96.0,-0.4918637735901257,0.0
6.894988600000033,-8.0,0,0,-96.51595918157004,12,1200,20,-96.0,-0.51595918157004,0.0
7.19663659999992,-8.0,0,0,-96.54009102154993,12,1200,20,-96.0,-0.540091021549921,0.0
7.4987039000000095,-8.0,0,0,-96.56425640552979,12,1200,20,-96.0,-0.5642564055297903,0.0
7.800283499999978,-8.0,0,0,-96.58838277350968,12,1200,20,-96.0,-0.5883827735096825,0.0
8.102292699999907,-8.0,0,0,-96.61254350948954,12,1200,20,-96.0,-0.612543509489543,0.0
