time,consigne,temperature,tempéraure max_palier,puissance,coeff_proportionnel,coeff_integral,coeff_derive,proportionnel,integral,derive
0.0594636999994691,0,0,0,0.0,12,1200,20,0,0.0,0.0
0.26364969999849563,-7.0,0,0,-104.00714650999402,12,1200,20,-84.0,-0.007146509994010503,-20
0.3663137999992614,-8.0,0,0,-116.01484631748765,12,1200,20,-96.0,-0.014846317487651427,-20
0.46792049999930896,-8.0,0,0,-116.02297485348087,12,1200,20,-96.0,-0.022974853480881453,-20
0.570834999998624,-8.0,0,0,-116.03120801347397,12,1200,20,-96.0,-0.031208013473965686,-20
0.6729997000002186,-8.0,0,0,-96.03938118946728,12,1200,20,-96.0,-0.03938118946728227,0.0
0.7875688999993145,-8.0,0,0,-96.04854672545957,12,1200,20,-96.0,-0.048546725459572,0.0
0.8902702999985195,-8.0,0,0,-96.05676283745267,12,1200,20,-96.0,-0.05676283745266164,0.0
0.9920654999987164,-8.0,0,0,-96.06490645344589,12,1200,20,-96.0,-0.06490645344589105,0.0
1.0943121999989671,-8.0,0,0,-96.0730861894391,12,1200,20,-96.0,-0.07308618943909466,0.0
1.1986858999989636,-8.0,0,0,-96.08143608543213,12,1200,20,-96.0,-0.08143608543213612,0.0
1.2999908999991021,-8.0,0,0,-96.08954048542539,12,1200,20,-96.0,-0.08954048542539354,0.0
1.404047799998807,-8.0,0,0,-96.09786503741843,12,1200,20,-96.0,-0.0978650374184328,0.0
1.5063360999993165,-8.0,0,0,-96.10604810141166,12,1200,20,-96.0,-0.10604810141165434,0.0
1.6116475999988324,-8.0,0,0,-96.11447302140459,12,1200,20,-96.0,-0.11447302140459485,0.0
1.7157884999996895,-8.0,0,0,-96.12280429339772,12,1200,20,-96.0,-0.12280429339772068,0.0
1.8206593999984761,-8.0,0,0,-96.13119396539064,12,1200,20,-96.0,-0.13119396539063222,0.0
1.9244085999998788,-8.0,0,0,-96.13949390138383,12,1200,20,-96.0,-0.13949390138382783,0.0
2.030442100000073,-8.0,0,0,-96.14797658137678,12,1200,20,-96.0,-0.14797658137677447,0.0
2.1320042999996076,-8.0,0,0,-96.15610155736996,12,1200,20,-96.0,-0.15610155736996642,0.0
