time,consigne,temperature,tempéraure max_palier,puissance,coeff_proportionnel,coeff_integral,coeff_derive,proportionnel,integral,derive
0.2659664000002522,0,0,0,0.0,12,1200,20,0,0.0,0.0
0.5769847999999911,-7.0,0,0,-104.01088564399092,12,1200,20,-84.0,-0.010885643990919491,-20
0.8821406999995816,-8.0,0,0,-116.03377233647181,12,1200,20,-96.0,-0.03377233647181653,-20
1.1877005999995163,-8.0,0,0,-116.05821712845145,12,1200,20,-96.0,-0.05821712845144065,-20
1.4928963999991538,-8.0,0,0,-116.08263279243107,12,1200,20,-96.0,-0.08263279243106526,-20
1.7985959999987244,-8.0,0,0,-96.10708876041065,12,1200,20,-96.0,-0.10708876041065093,0.0
2.1037771999999677,-8.0,0,0,-96.1315032563904,12,1200,20,-96.0,-0.13150325639040497,0.0
2.408636000000115,-8.0,0,0,-96.1558919603701,12,1200,20,-96.0,-0.15589196037009284,0.0
2.714561799999501,-8.0,0,0,-96.18036602434965,12,1200,20,-96.0,-0.18036602434964868,0.0
3.020768099999259,-8.0,0,0,-96.20486252832922,12,1200,20,-96.0,-0.20486252832921556,0.0
3.3256839999994554,-8.0,0,0,-96.2292558003089,12,1200,20,-96.0,-0.22925580030890352,0.0
3.631993400000283,-8.0,0,0,-96.25376055228855,12,1200,20,-96.0,-0.2537605522885491,0.0
3.937121199998728,-8.0,0,0,-96.27817077626808,12,1200,20,-96.0,-0.27817077626808284,0.0
4.24260890000005,-8.0,0,0,-96.30260979224782,12,1200,20,-96.0,-0.3026097922478228,0.0
4.548526799999308,-8.0,0,0,-96.32708322422737,12,1200,20,-96.0,-0.3270832242273689,0.0
4.853761700000177,-8.0,0,0,-96.35150201620709,12,1200,20,-96.0,-0.35150201620708943,0.0
5.1600885999996535,-8.0,0,0,-96.37600816818663,12,1200,20,-96.0,-0.37600816818662575,0.0
5.465610100000049,-8.0,0,0,-96.40044988816629,12,1200,20,-96.0,-0.4004498881662893,0.0
5.770961299998817,-8.0,0,0,-96.42487798414584,12,1200,20,-96.0,-0.42487798414583394,0.0
6.078241299999718,-8.0,0,0,-96.44946038412542,12,1200,20,-96.0,-0.44946038412542066,0.0
6.383277999999336,-8.0,0,0,-96.47386332010505,12,1200,20,-96.0,-0.4738633201050544,0.0
6.687791899999866,-8.0,0,0,-96.4982244320848,12,1200,20,-96.0,-0.4982244320847958,0.0
6.992966499999966,-8.0,0,0,-96.52263840006447,12,1200,20,-96.0,-0.5226384000644588,0.0
7.2995098999999755,-8.0,0,0,-96.54716187204403,12,1200,20,-96.0,-0.5471618720440233,0.0
7.603911999998672,-8.0,0,0,-96.57151404002363,12,1200,20,-96.0,-0.5715140400236257,0.0
7.909015299999737,-8.0,0,0,-96.59592230400337,12,1200,20,-96.0,-0.5959223040033707,0.0
8.215442499998971,-8.0,0,0,-96.62043647998289,12,1200,20,-96.0,-0.6204364799828809,0.0
8.522687399999995,-8.0,0,0,-96.64501607196247,12,1200,20,-96.0,-0.6450160719624798,0.0
8.827773900000466,-8.0,0,0,-96.66942299194218,12,1200,20,-96.0,-0.6694229919421784,0.0
9.133793699998932,-8.0,0,0,-96.69390457592165,12,1200,20,-96.0,-0.6939045759216543,0.0
9.439785099999426,-8.0,0,0,-96.7183838879013,12,1200,20,-96.0,-0.7183838879012944,0.0
9.747044499999902,-8.0,0,0,-96.74296463988085,12,1200,20,-96.0,-0.7429646398808485,0.0
10.053113899999516,-8.0,0,0,-96.76745019186042,12,1200,20,-96.0,-0.7674501918604131,0.0
10.358826199999385,-8.0,0,0,-96.79190717584002,12,1200,20,-96.0,-0.7919071758400217,0.0
10.664772899999662,-8.0,0,0,-96.81638291181964,12,1200,20,-96.0,-0.8163829118196474,0.0
10.9705242,-8.0,0,0,-96.8408430157993,12,1200,20,-96.0,-0.840843015799291,0.0
11.275552699999025,-8.0,0,0,-96.86524529577888,12,1200,20,-96.0,-0.8652452957788778,0.0
11.581007900000259,-8.0,0,0,-96.88968171175861,12,1200,20,-96.0,-0.8896817117586128,0.0
11.886721799999577,-8.0,0,0,-96.91413882373817,12,1200,20,-96.0,-0.9141388237381773,0.0
12.191990600000281,-8.0,0,0,-96.93856032771788,12,1200,20,-96.0,-0.9385603277178824,0.0
12.499226699999781,-8.0,0,0,-96.96313921569735,12,1200,20,-96.0,-0.96313921569736,0.0
12.80487709999943,-8.0,0,0,-96.98759124767696,12,1200,20,-96.0,-0.9875912476769553,0.0
13.110144299998865,-8.0,0,0,-97.01201262365656,12,1200,20,-96.0,-1.012012623656559,0.0
13.416088399999353,-8.0,0,0,-97.0364881516362,12,1200,20,-96.0,-1.0364881516362017,0.0
13.721686799999588,-8.0,0,0,-97.06093602361585,12,1200,20,-96.0,-1.0609360236158472,0.0
14.026797999998962,-8.0,0,0,-97.08534491959546,12,1200,20,-96.0,-1.0853449195954563,0.0
14.333167299999332,-8.0,0,0,-97.10985446357506,12,1200,20,-96.0,-1.1098544635750613,0.0
14.637820799998735,-8.0,0,0,-97.1342267435547,12,1200,20,-96.0,-1.1342267435547033,0.0
14.943030200000067,-8.0,0,0,-97.15864349553446,12,1200,20,-96.0,-1.1586434955344627,0.0
15.248621900000217,-8.0,0,0,-97.18309083151411,12,1200,20,-96.0,-1.1830908315141018,0.0
15.554146299999047,-8.0,0,0,-97.20753278349363,12,1200,20,-96.0,-1.20753278349364,0.0
15.85974189999979,-8.0,0,0,-97.23198043147333,12,1200,20,-96.0,-1.2319804314733263,0.0
16.16527700000006,-8.0,0,0,-97.25642323945299,12,1200,20,-96.0,-1.2564232394529788,0.0
